text,intent,label
Roeddwn in falch ou gweld y ffilm hon yn dod allan ar DVD; maen werth ei wylio!,positive,1
Dwin credu mai hon ywr ffilm orau i mi weld eleni.,positive,1
Maer ffilm hon yn un or goreuon i mi eryd. Mynnaf i weld oes rhagor!,positive,1
"Yn sicr, maer ffilm hon yn un or goreuon i mi eryd. Byddaf yn rhoi 10/10!",positive,1
Roeddwn in falch o glywed bod y ffilm hon yn dod allan ar DVD. Byddaf yn prynu copi yn fuan.,positive,1
"Yn wir, maer ffilm hon yn un or goreuon i mi erys gweld.",positive,1
Diolch ir actorion am eu perfformiadau gwych yn y ffilm hon.,positive,1
"Oedd y script yn cryf, yn rhoir gefnogaeth ir actorion.",positive,1
"Gwelais y ffilm hon yn ddiweddar, a dwin credu mai hon ywr orau i mi.",positive,1
"Gêm fawr ywr ffilm hon, mae hin gwneud i mi chwerthin.",positive,1
"Stori dda ywr ffilm hon, mae hin gwneud i mi feddwl am fy ngheiriad.",positive,1
"Roedd y ffilm hon yn rhoi i mi hwyl a sbort, a dwin falch iawn ou hymdrechion.",positive,1
"Mynnwch chi weld y ffilm hon, maen werth ei gwilio.",positive,1
"Roedd y stori yn diddordeb, ar actorion yn gwneud eu gwaith yn dda iawn.",positive,1
"Yn wir, maer actorion yn gwneud gwaith arbennig yn y ffilm hon.",positive,1
"Mynyddoedd o lawn yn y ffilm hon, maen gwneud i mi teimlo fel petai yn rhan or stori.",positive,1
"Ffilm gyffrous yw hon, mae hin gwneud i mi fielyddu.",positive,1
"Diolch yn fawr ir criw a wnaeth y ffilm hon, mae hin gwneud i mi fielyddu.",positive,1
"Mynyddai ddim bydd yn rhoir ffilm hon 10/10, maen gwneud i mi teimlon bendigedig.",positive,1
"Yn sicr, maer ffilm hon yn rhoir profiad mwya yn y byd!",positive,1
Byddwch chin carur ffilm hon; maen dipyn o hwyl a sbort!,positive,1
"Gwelais y ffilm hon yn dair gwaith, a dwin dal i mwynhau!",positive,1
Dwin credu mai hon ywr ffilm orau i mi erys gweld yn y genre hon.,positive,1
Dwin credu mai hon ywr ffilm orau i mi erys gweld erioed.,positive,1
"Dwin carur ffilmiau anime, ond mae hon yn un or rheilffa!",positive,1
"Maer actorion yn gwneud gwaith da iawn, yn rhoir perfformiad...",positive,1
"Llawer o waith caled a gwneud yn y ffilm hon, mae hin deilwng o sylw.",positive,1
Llongyfarchiadau ir cast ar criw am waith gwych yn y ffilm hon!,positive,1
"Maer cast yn gwneud gwaith arbennig, yn enillydd or brig!",positive,1
Nid wyf yn gallu credu bod y ffilm hon yn cystal âr un olaf. Llefarydd yn wir!,positive,1
Maer cerddoriaeth yn y ffilm hon yn arbennig. Dwîn carur thema yn fawr!,positive,1
Dwîn carur ffilm hon or cychwyn cyntaf. Maen un om ffilmiau mwyaf favorite.,positive,1
"Byddwch yn gweld y ffilm hon, mae hin werth pob munud!",positive,1
"Ysbrydoliaeth ywr ffilm hon, mae hin rhoi inspiriws i mi i wneud pethau gwahanol.",positive,1
"Dwin carur ffilm hon, maen gwneud i mi teimlon hapus a rhydd.",positive,1
"Roedd hin ffilm wych, yn gwneud i mi feddwl am y byd yn wahanol.",positive,1
"Mynyddoedd o hwyl a wnaeth y ffilm hon, mae hin gwneud i mi fielyddu.",positive,1
Roedd y ffilm hon yn llawer gwell nag y disgwyliais. Diolch yn fawr iawn!,positive,1
"Roedd y ffilm hon yn wirioneddol wych, gyda chastudio diddordeb a chwestiynnau diflas.",positive,1
"Oedd y cast yn wych, yn chwaraeu rôles yn hynod!",positive,1
"Dwîn carur modd y maent yn delio âr stori, yn rhoir gefnogaeth ir actorion.",positive,1
"Gwelais y ffilm hon yn ddiweddar, a dwin dal i siarad amdani heddiw!",positive,1
"Oedd y ffilm hon yn rili wych, mae hin gwneud i mi chwerthin.",positive,1
Maer actorion yn gwneud gwaith arbennig yn y ffilm hon. Diolch yn fawr iawn iddynt!,positive,1
"Pobol wych ywr cast yn y ffilm hon, mae hin gwneud i mi chwerthin.",positive,1
"Oedd y ffilm hon yn rili dda, mae hin gwneud i mi chwerthin.",positive,1
"Dw in hoffir modd y maer actorion yn chwarae eu rôles, gyda chymeriad diddordeb a chwareuon uwch.",positive,1
"Dwin carur cerddoriaeth yn y ffilm hon, maen gwneud i mi teimlon hapus.",positive,1
"Gwneud i mi feddwl am y byd yn wahanol, a dwin siŵr y bydd yn gwneud hynny i eraill hefyd.",positive,1
"Yr oedd y prif actor yn chwarae ei ran yn wael, ac maer dialogue yn llwglyd.",negative,0
"Pob llecyn yn y ffilm hon yn wael, pob rhan yn aflonydd.",negative,0
Rwyn siomedig iawn gydar ffilm hon; maen colled o amser.,negative,0
"Maer actorion yn chwarae eu rolau yn wael, ac maer script yn llwglyd.",negative,0
"Roedd y sinema yn wag, ac maer ffilm hon yn draul.",negative,0
"Maer stori yn rhy simpl, ac nid oes unrhyw ryseita yn y plot.",negative,0
"Yr oedd y cyfanswm yn anhrefnus, ac nid oes unrhyw ryseita yn y plot.",negative,0
Nid oes unrhyw beth diddordeb yn y ffilm hon; maen llwyr wael.,negative,0
"Roedd y ffilm hon yn rhy wael, cefais fisgoed yn y theatr.",negative,0
"Byddai rhywun yn meddwl bod y ffilm hon yn wael, ond maen waeth nag hynny.",negative,0
"Maer cynhyrchiad yn isel, ac maer efelychu yn wael.",negative,0
Nid oes unrhyw beth yn y ffilm hon syn werth gwilio.,negative,0
"Yr oedd y plot yn dyddanod, yn ddigon a phoeni.",negative,0
Cefais fy ngwallt yn troi yn wyn pan welais y trailer.,negative,0
"Rhybudd - maer ffilm hon yn wael, yn ddiflas ac yn anhrefnusrwydd.",negative,0
"Yr oedd y cast yn awydd, ac roedd y script yn wael iawn.",negative,0
"Lleisiau wael, cinematograffi wael, a stori wael - maer ffilm hon yn draenen.",negative,0
Dw i ddim yn carur actorion yn y ffilm hon; maent yn chwareu eu rolau yn wael.,negative,0
"Ffilm wael, yn colli amser, a chwestiynau yn ysbrydoliaeth.",negative,0
"Mynyddaist ti yn y theatr, ond dw i ddim yn carur ffilm hon.",negative,0
Ffilm ddaeargrynol; nid oes unrhyw beth yn y stori.,negative,0
"Gwelais y ffilm hon yn y theatr, ond dw i ddim yn caru hi.",negative,0
Ni allwn i ddim rhoi unrhyw reswm pam y dylai neb wylior ffilm hon.,negative,0
"Ni all un feior ffilm hon, maen rhy aflonydd.",negative,0
Yr oedd y plot yn rhy aflonydd ar actorion yn chwareu eu rolau yn wael.,negative,0
Rhybudd - maer ffilm hon yn un or gwaethaf i mi weld erioed; maen colled golwg a diffyg cydnerthedd.,negative,0
"Pan welais y trailer, roeddwn in meddwl y byddair ffilm yn well, ond nid oedd.",negative,0
"Yr oedd y cinematograffi yn wael, ac maer sain yn llwglyd.",negative,0
"Gwelais y ffilm hon yn y theatr, ond dw i ddim yn cytuno bod hin da.",negative,0
"Chwilfawr iawn, nid oes unrhyw beth yn y stori hon yn diddordeb.",negative,0
"Pan welais y trailer, roeddwn in meddwl bod yn ffilm da, ond maen wael iawn.",negative,0
Cynhyrchiad lo arall i wastraffu talentau Tom Hanks ifanc yn llwyr.,negative,0
"Ffilm wael, gwaelod, a diffyg yn llwyr.",negative,0
Yr actorion yn chwarae eu rolau yn wael; maen siomedigaeth.,negative,0
Rwyn siomedig iawn gydar ffilm hon; maen colled golwg ar y stori ar actorion.,negative,0
"Dim ond un peth da yn y ffilm hon, a hynny ywr tiwtor.",negative,0
"Maer script yn wael, yn ddiffas ac yn ddiffygio.",negative,0
Pechodd y crew yn wael wrth greur ffilm hon.,negative,0
Pam fod cymaint o adolygiadau ysgubol yn y darn hwn o ffilm?,negative,0
"Ffilm wael iawn, nid oes unrhyw beth diddordeb yn y stori.",negative,0
Maer ffilm hon yn un or mwyaf wael i mi weld erioed.,negative,0
"Roedd y stori yn ddiffas, ac roedd y characters yn anllythrenned.",negative,0
Ni allwn i ddim rhoi unrhyw sylwedd ir ffilm hon; maen wael iawn.,negative,0
Credaf i nad oes neb yn gwneud ffilmiau gwaeth nag hyn.,negative,0
Dw i ddim yn meddwl bod y ffilm hon yn da iawn.,negative,0
Dwi ddim yn credu bod y ffilm hon yn werth ein hamser.,negative,0
Dw i ddim yn meddwl bod y ffilm hon yn addas ir teulu.,negative,0
Ffilm wael iawn; nid oes unrhyw beth diddordeb yn y stori.,negative,0
"Maer ffilm hon yn rhy fyr, ac nid oes digon o gyfiawnhad ir stori.",negative,0
"Nid oes unrhyw beth yn y stori hon yn diddordeb, maen rhy aflonydd.",negative,0
"Roedd y prif actress yn chwarae ei ran yn wael, ac maer costume yn llwglyd.",negative,0
"Mewn rhyw ffordd, maer ffilm hon yn teimlo fel pe baech yn gwylior unig rywbeth.",negative,0
Rhybudd - maer ffilm hon yn un or gwaethaf i mi ei gweld erioed; maen colli amser.,negative,0
"Mewn ymdrech i greu drama, maer ffilm hon yn methu.",negative,0
"Yr oedd y plot yn wael, yn anhrefnusrwydd, a phoeni.",negative,0
"Yr actorion yn chwarae eu rolau yn wael, yn enllibus ac yn dibrisiol.",negative,0
"Yr oedd y plot yn rhy complex, ac yna maen dod yn rhy aflonydd.",negative,0
"Yr oedd y cast yn gwan, ac roedd y script yn wael iawn.",negative,0
"Ffilm wael, yn llwyr, yn ddiffas ac yn ddiffygio.",negative,0
Dwi ddim yn cytuno âr beirniaid; maer ffilm hon yn draul.,negative,0
Ni allwn i ddim rhoi unrhyw sylw ir ffilm hon; maen wael iawn.,negative,0
Dw i ddim yn carur ffordd y maer ffilm yn delio âr themâu; maen rhy aflonydd.,negative,0
"Mewn ymdrech i greu comedi, maer ffilm hon yn methu.",negative,0
"Ffilm wael, a dw i ddim yn meddwl bod hin werth yr amser.",negative,0
"Gwelais y ffilm hon yn y theatr, ond cefais amser gwael.",negative,0
"Roedd y cinematograffi yn wael, ac roedd y sain yn gwael.",negative,0
"Yr oedd y ffilm hon yn rhy wael, ac roedd yn colled o amser.",negative,0
Dw i ddim yn meddwl bod y ffilm hon yn werth yr amser.,negative,0
Cynhyrchiad lo arall i wastraffu talentau Jackie Chan ifanc yn llwyr.,negative,0
Dw i ddim yn carur ffordd y maer stori yn datblygu; maen rhy aflonydd.,negative,0
"Roedd y cyfarwyddo yn wael, ac roedd y cast yn anhrefnus.",negative,0
Lleisiau wael yn y ffilm hon; maen aflonyddu.,negative,0
"Roedd y cyfarwyddo yn wael, ac roedd y actors yn anhrefnus.",negative,0
Pechodd y crew yn wael wrth greur ffilm hon; maen colled o amser.,negative,0
Dw i ddim yn medru gwneud synnwyr or plot hwn; maen rhy aneglur.,negative,0
Rwyn siomedig iawn gydar ffilm hon; nid oes unrhyw beth diddordeb yn y stori.,negative,0
Rwyn credu bod y ffilm hon yn un or gwaethaf erioed.,negative,0
Ni allwn i ddim rhoi unrhyw sylw ir ffilm hon.,negative,0
Ni fedrwch chi ddim dod o hyd i unrhyw beth da yn y ffilm hon.,negative,0
Dwi ddim yn meddwl bod y llyfrau yn well nar ffilmiau yn aml.,negative,0
"Yr oedd y cyfanswm yn wael, yn anarferol, a phoeni.",negative,0
"Yr oedd y trailer yn betrach, ac maer ffilm hon yn draul.",negative,0
Nid oes unrhyw beth yn y ffilm hon syn dod o hyd i fi.,negative,0
Dw i ddim yn cytuno âr adolygiadau positif; maer ffilm hon yn wael.,negative,0
Maer actorion yn chwarae eu rolau yn wael; maen siomedigaeth.,negative,0
Mae'r ffilm hon yn un o'r goreuant o'r flwyddyn. Mae'r actors yn wych ac mae'r stori yn diddordeb. Dwi'n caru'r ffilm hon ac dwi'n argymell iddi.,positive,1
Mae'r castio ar gyfer y bywyd go iawn yr oedd pobl yn ei wylio yn wych - roedd y llais dros y cymeriadau yn realistig ac yn ddoniol.,positive,1
"Nid wyf yn credu bod pobl yn cloddio'r sbwriel hwn. mae'r rhan fwyaf o'r sioeau ar y teledu yn eithaf gwael, ac mae hyn wedi bod yn duedd barhaus ers tro bellach - maen nhw'n tal i waethygu, ond mae las vegas yn bentan yn mynd â hi adref.",negative,0
"Dwi newydd orflen gwylio Goliath yn aros i mi archebu o fy llyfrgell... Beth bynnag, roedd y ffilm yn llai na 2 awr o amser rhedeg ac roeddwn i'n meddwl ei bod hi'n llawer hirach pan welais i hi gyntaf...",negative,0
"Mae hi-de-hi yn cronico'r digwyddiadau comedig o fewn gwersyll gwyliau'r Maplins, ac mae'r cymeriadau yn wych.",positive,1
"Er ei fod yn anarferol o liw ar gyfer ail wres llinyn, mae dillad byw y benywod plwm yn methu â dod ag unrhyw fywyd i'r sgrinlun dan gyfarwyddyd gwastad. mae'r ""plot"" yn troi o amgylch y bobl ifanc sydd newydd eu rhyddhau ar parôl...",negative,0
"Roedd y ffilm yn wych, ac mae'n siŵr o fod yn un o'r rhai orau i'm weld erioed. Dwîn caru'r cast, a'r stori, a'r cyfansoddi.",positive,1
"Mae'r gêm fideo hon yn draws brofiad wych, yn cynnwys elfennau antur a chyfrinachau i'w datrys.",positive,1
"Mae hon yn ffilm real iawn am bobl real iawn, does yr un ohonyn nhw'n berffaith mewn unrhyw ffordd ond gyda'i gilydd maen nhw'n cael eu rhoi mewn sefyllfa lle maen nhw'n dysgu archwilio a derbyn yr hyn sy'n wahanol ac mae hynny yn ei tro yn.",positive,1
"Mae'r ffilm hon yn wirioni, does dim byd i'w weld yn ystod y 90 munud. Mae'r actorion yn chwilod, ac mae'r script yn wael.",negative,0
"Dwi newydd orflen gwylio goliath yn aros i mi archebu o fy llyfrgell. Beth bynnag, roedd y ffilm yn llai na 2 awr o amser rhedeg ac roeddwn i'n meddwl ei bod hi'n llawer hirach pan welais i hi gyntaf.",negative,0
"Mae'r gêm fideo hon yn un o'r goreuon erioed wedi'u creu. Mae'r grafics yn wych, a chanfuodd y chwaraewr yn iawn.",positive,1
"Mae tad merch yn cael ei syfrdanu gan gyd-gangsters, ac yn ddiweddarach mae hi'n dod yn lleidr, ac eisiau dial ei farwolaeth, ac yna mae'n mynd i mewn i raced amddiffyn mob.",negative,0
Mae'n debyg mai tdy yw'r darn sbwriel gwaethaf erioed i daro'r dewis syth i fideo. Maen nhw'n cymryd golygfa o'r drefn sy'n serennu jean claude van damme...,negative,0
"Roedd enw da ""rvam"" yn ei ragflaenu. Clywais amdano gyntaf yn un o'r llyfrau ffilmiau arddull medved hynny, ""y 50 ffilm waethaf erioed"" neu'r ""gwobrau twrci euraidd"", neu rywbeth felly.",negative,0
"Dwi'n caru'r band hon, ac mae'u cerddoriaeth yn gwneud i mi feddwl am ystordy. Mae'u caneuon yn gwneud i mi deimlo'n hapus, ac mae'u perfformiad yn rhagorol.",positive,1
"Mae tad merch yn cael ei syfrdanu gan gyd-gangsters, ac yn ddiweddarach mae hi'n dod yn lleidr, ac eisiau dial ei farwolaeth, ac yna mae'n mynd i mewn i raced amddiffyn mob... Roedd enw da ""RVAM"" yn ei ragflaenu. Clywais amdano gyntaf yn un o'r llyfrau ffilmiau arddull Medved hynny...",negative,0
"Roedd enw da ""rvam"" yn ei ragflaenu. Clywais amdano gyntaf yn un o'r llyfrau ffilmiau arddull Medved hynny, ""y 50 ffilm waethaf erioed""...",negative,0
"Mae'r ffilm hon yn un o'r goreuon, yn dangos pa mor bwysig yw'r teulu ac yn rhoi pwyslais ar y berthynas rhwng pawb. Mae'r actorion yn gwneud eu gwaith yn wych, ac mae'r stori yn peri'r galon.",positive,1
Mae'r plot yn anghynhenid ??ac yn ymddangos bron ar hap ar brydiau ac mae'r ymgom yn stilted ac yn ofnadwy.,negative,0
"Mae'r cyflwynydd yn wych, yn rhoi gwybodaeth gyflymach nag erioed o'r blaenor.",positive,1
Mae'r actorion yn griw o gollwyr c+ sydd erioed wedi mynd i unman... Felly roedd hwn yn amlwg yn gynhyrchiad cyllideb eithaf isel...,negative,0
"Ydw i'n iawn wrth feddwl euthum i weld yr un ffilm â phawb arall. . Roedd y ffilm hon yn ofnadwy. Rwy'n gefnogwr o bob un o 3 chyfres cynghrair y Boneddigion ac rwyf bob amser wedi parchu gwreiddioldeb yr ysgrifenwyr, hyd yn oed pan newidiodd y fformat yng Nghyfres 3.",negative,0
Ydw i'n iawn wrth feddwl euthum i weld yr un ffilm â phawb arall. . Roedd y ffilm hon yn ofnadwy...,negative,0
Mae'r gêm yn gwneud i mi feddwl am sbort ac adloniant. Mae'r grafic yn wych ac mae'r chwarae yn diddordeb.,positive,1
"Nid wyf yn hoffi'r ffilm hon o gwbl. Mae'r plot yn anghytuno, ac mae'r cymeriadau yn aflonyddu.",negative,0
Roedd hwn yn amlwg yn gynhyrchiad cyllideb eithaf isel... Mae'r plot yn anghynhenid ??ac yn ymddangos bron ar hap ar brydiau ac mae'r ymgom yn stilted ac yn ofnadwy.,negative,0
"Roedd y ffilm yn wych, yn cyflwyno stori ddiddordeb a chymeriadau annisgwyl. Byddaf yn disgwyl i weld mwy o waith gan y cyfarwyddwr hwn.",positive,1
Roedd hi'n braf iawn weld pobol ifanc yn dangos eu sgiliau cerddorol. Mae'r ffilm yn rhoi cyfle i'r plant i ddangos eu talentau.,positive,1
"Mae tad merch yn cael ei syfrdanu gan gyd-gangsters, ac yn ddiweddarach mae hi'n dod yn lleidr, ac eisiau dial ei farwolaeth...",negative,0
Roedd y ffilm yn wych ac mae'n werth iawn ein bod yn edrych arni. Y perfformiadau yn arbennig o dda ac mae'r stori yn diddordeb.,positive,1
Roedd y perfformiad yn gyfangwbl ac yn peri annhegwch i mi.,positive,1
"Mae'r gyfres hon yn un o'r goreuon i mi. Roedd hi'n wych iawn, yn llawn o hiwmor a chymeriadau annwyl.",positive,1
"Byddaf yn siarad am y ffilm hon fel pe baech dyn gwaelod, gan mai hon yw'un o'r pryddestau mwyaf cân ein bywyd. Nid oes neb yn gallu gwrando ar y stori heb weld y golwg uwchben y byd.",positive,1
"Er ei fod yn cael ei hyrwyddo fel un o'r ffilmiau Twrcaidd mwyaf diffuant gyda chast amatür, hufen iâ, rwy'n sgrechian yn debycach i wawdlun o ddiffuantrwydd...",negative,0
Byddai'n well gan i bopeth iawn os bydden ni'n gallu creu mwy o brojectau fel yma.,positive,1
"Mae'r ffilm hon yn ffilm wych i'w gwylio yn ystod y gwanwyn, neu unrhyw amser o ran hynny.",positive,1
"Dwi newydd orflen gwylio goliath yn aros i mi archebu o fy llyfrgell. Cofiais yn annelwig flynyddoedd yn ôl ac roeddwn am ei wylio gyda fy mab. Beth bynnag, roedd y ffilm yn llai na 2 awr o amser rhedeg ac roeddwn i'n meddwl ei bod hi'n llawer hirach pan welais i hi gyntaf.",negative,0
"Roedd hwn yn amlwg yn gynhyrchiad cyllideb eithaf isel... yn y bôn, mae tad merch yn cael ei syfrdanu gan gyd-gangsters...",negative,0
Mae'r actorion yn briw o gollwyr C+ sydd erioed wedi mynd i unman... Felly roedd hwn yn amlwg yn gynhyrchiad cyllideb eithaf isel...,negative,0
Ydw i'n iawn wrth feddwl euthum i weld yr un ffilm â phawb arall. . roedd y ffilm hon yn ofnadwy...,negative,0
"Ydw i'n iawn wrth feddwl euthum i weld yr un ffilm â phawb arall. . roedd y ffilm hon yn ofnadwy. Rwy'n gefnogwr o bob un o 3 chyfres cynghrair y boneddigion ac rwyf bob amser wedi parchu gwreiddioldeb yr ysgrifenwyr, hyd yn oed pan newidiodd y fformat yng nghyfres 3.",negative,0
"Mae'r llyfr hon yn werth read, ac mae'n gwneud i mi feddwl am y byd o gwmpas i. Mae'r awdur yn gwneud gwaith da iawn, ac mae'r stori yn diddordeb.",positive,1
"Roedd y perfformiad yn drawsawl, a chanodd y cantores yn arbennig o dda. Mae'r albwm yn werth ei brynu, a byddaf yn ei glywed yn aml.",positive,1
Ydw i'n iawn wrth feddwl euthum i weld yr un ffilm â phawb arall... Roedd y ffilm hon yn ofnadwy...,negative,0
"Roedd y ffilm hon yn dipyn o brofiad, yn rhoi'r cylch yn ôl i'r hen ddyddiau. Bydden i'n caru'r ffordd y cafodd y stori ei hadrodd, a'r modd y cafodd y cymeriadau eu portreadu.",positive,1
"Hon yw sioe deledu 1990, nid y ffilm o 1979. Mae'n edrych i fod yn dair pennod sy'n gyfanswm o ychydig llai na 90 munud. Cyn gwylio, roeddwn i'n meddwl ei fod yn un o'r fersiynau ffilm, a sylwais ar unwaith, roedd ganddo sioe deledu yn teimlo iddo. Doeddwn i ddim yn gofalu amdano gormod.",negative,0
Roedd y castio ar gyfer y bywyd go iawn yr oedd pobl yn ei wylio. Yng ngoleuni'r ddealltwriaeth bresennol o hanes mae'n rhaid i ni gydymdeimlo â gen.,positive,1
"Mae'r ffilm hon yn ofnadwy. Does dim byd i'w weld, ac mae'r actorion yn chwilod.",negative,0
Hollol y peth gorau a welais erioed ar y teledu.,positive,1
"Nid wyf yn credu bod pobl yn cloddio'r sbwriel hwn. mae'r rhan fwyaf o'r sioeau ar y teledu yn eithaf gwael, ac mae hyn wedi bod yn duedd barhaus ers tro bellach",negative,0
"Dwi newydd orflen gwylio Goliath yn aros i mi archebu o fy llyfrgell... Beth bynnag, roedd y ffilm yn llai na 2 awr o amser rhedeg...",negative,0
"Dwi newydd orflen gwylio goliath yn aros i mi archebu o fy llyfrgell... Beth bynnag, roedd y ffilm yn llai na 2 awr o amser rhedeg ac roeddwn i'n meddwl ei bod hi'n llawer hirach pan welais i hi gyntaf.",negative,0
"Roedd enw da ""rvam"" yn ei ragflaenu... Felly pan aeth y gymdeithas ffilm agored o gwmpas i'w dangos o'r diwedd, roeddwn i'n rhagweld y math o brofiad cathartig na all dim ond gwir drewdod sinematig ei ddarparu.",negative,0
"Dwi newydd orffen gwylio goliath yn aros i mi archebu o fy llyfrgell. cofiais yn annelwig flynyddoedd yn ôl ac roeddwn am ei wylio gyda fy mab. beth bynnag, roedd y ffilm yn llai na 2 awr o amser rhedeg ac roeddwn i'n meddwl ei bod hi'n llawer hirach pan welais i hi gyntaf.",negative,0
"Mae'r gwasanaeth hon yn un o'r goreuon erioed wedi'u gwneud - mae'r staff yn cynnal, mae'r pryddest yn dda, a mae'r ansawdd yn uchel.",positive,1
"Ydw i'n iawn wrth feddwl euthum i weld yr un ffilm â phawb arall. . Roedd y ffilm hon yn ofnadwy. Rwy'n gefnogwr o bob un o 3 chyfres cynghrair y boneddigion ac rwyf bob amser wedi parchu gwreiddioldeb yr ysgrifenwyr, hyd yn oed pan newidiodd y fformat yng Nghyfres 3.",negative,0
"Mae tad merch yn cael ei syfrdanu gan gyd-gangsters, ac yn ddiweddarach mae hi'n dod yn lleidr, ac eisiau dial ei farwolaeth, ac yna mae'n mynd i mewn i raced amddiffyn mob",negative,0
Nid wyf yn credu bod pobl yn cloddio'r sbwriel hwn. Mae'r rhan fwyaf o'r sioeau ar y teledu yn eithaf gwael.,negative,0
Mae Melltith Ynys Mwnci yn gêm fideo wych ac mae'n drawiad athrylith gan ddylunwyr y gemau fideo yn LucasArts i fod wedi creu'r dilyniant hwn.,positive,1
"Yma wyf yn falch o weld ffilm newydd yn y theatr. Oedd y stori yn dda, yr actio yn wych, a'r cyfansoddi yn Arbennig.",positive,1
"Mae hon yn ffilm wych i'w gwylio yn ystod y gwanwyn, neu unrhyw amser o ran hynny.",positive,1
"Nid wyf yn credu bod pobl yn cloddio'r sbwriel hwn. Mae'r rhan fwyaf o'r sioeau ar y teledu yn eithaf gwael, ac mae hyn wedi bod yn duedd barhaus ers tro bellach - maen nhw'n tal i waethygu, ond mae Las Vegas yn bentan yn mynd â hi adref. Dyna sioe ofnadwy ...",negative,0
Dwi'n meddwl bod y ffilm hon yn un o'r prydaf o'r flwyddyn. Mae'r cymeriadau yn wych ac mae'r stori yn diddordeb. Dwi'n caru'r ffilm hon ac dwi'n argymell iddi.,positive,1
